"ship_type","fuel_type","year","consumption"
"T","RefPO",2042,948.870285354217
"T","H2",2042,569.32217121253
"B","Oil",2042,1176.4942339374
"B","LNG",2042,1225.51482701812
"B","LPG",2042,1089.346512905
"B","MeOH",2042,288.963496054799
"B","NH3",2042,396.672385388854
"B","RefPO",2042,1058.222326822
"B","H2",2042,392.164744645799
"G","Oil",2042,1015.38461538462
"G","LNG",2042,837.692307692308
"G","LPG",2042,902.564102564102
"G","MeOH",2042,242.267206477733
"G","NH3",2042,336.127320954907
"G","RefPO",2042,902.564102564102
"G","H2",2042,459.340659340659
"O","Oil",2042,546.137601422696
"O","LNG",2042,512.004001333778
"O","LPG",2042,530.967112494288
"O","MeOH",2042,158.092463569728
"O","NH3",2042,225.987973002495
"O","RefPO",2042,650.163811217496
"O","H2",2042,341.336000889185
"C","Oil",2043,874.792917628945
"C","LNG",2043,672.917628945342
"C","LPG",2043,822.454879822085
"C","MeOH",2043,230.208662533933
"C","NH3",2043,324.856786387407
"C","RefPO",2043,833.136112027567
"C","H2",2043,416.568056013784
"T","Oil",2043,1049.9306868305
"T","LNG",2043,984.310018903592
"T","LPG",2043,947.854092277533
"T","MeOH",2043,224.49175869731
"T","NH3",2043,294.161614844752
"T","RefPO",2043,937.438113241516
"T","H2",2043,562.462867944909
"B","Oil",2043,1162.31960461285
"B","LNG",2043,1210.74958813839
"B","LPG",2043,1076.22185612301
"B","MeOH",2043,285.482008150525
"B","NH3",2043,391.893200022723
"B","RefPO",2043,1045.47266023378
"B","H2",2043,387.439868204283
"G","Oil",2043,1003.15106580167
"G","LNG",2043,827.599629286376
"G","LPG",2043,891.689836268149
"G","MeOH",2043,239.348324471977
"G","NH3",2043,332.077594196414
"G","RefPO",2043,891.689836268149
"G","H2",2043,453.806434529326
"O","Oil",2043,539.557630321218
"O","LNG",2043,505.835278426142
"O","LPG",2043,524.569918367851
"O","MeOH",2043,156.187735092984
"O","NH3",2043,223.265226339814
"O","RefPO",2043,642.330512287164
"O","H2",2043,337.223518950761
"C","Oil",2044,864.124711316397
"C","LNG",2044,664.711316397229
"C","LPG",2044,812.424942263279
"C","MeOH",2044,227.401239820105
"C","NH3",2044,320.895118260731
"C","RefPO",2044,822.975915539426
